id;name;price;weight;link;market;categories;images;description;_id
12004917;CALCULADORA CIENTÍFICA ALETRÍA X 1 UD;10900.0;;https://domicilios.tiendasd1.com/p/calculadora-cientifica-t23-aletria-x-1-ud-12004917;D1;['Temporada Escolar', 'Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004917.png'];"Calculadora Cient&iacute;fica<br />Marca: Aletr&iacute;a<br />Referencia: KS-82MS<br />Color: Negro<br />Dimensiones: 16 x 8.1 cm Aprox.<br />Presentaci&oacute;n: x1 unidad<br />Incluye: Carcasa o tapa<br />Caracter&iacute;sticas: 240 funciones, visualizaci&oacute;n de expresiones matem&aacute;ticas igual que en libros, display en doble (2) linea(s): la expresi&oacute;n y resultado pueden visualizarse al mismo tiempo. <br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad0
12006644;FUNDA PARA PORTATIL ALETRIA X 1UD;14900.0;;https://domicilios.tiendasd1.com/p/funda-para-portatil-aletria-x-1ud-12006644;D1;['Escolar', 'Temporada Escolar II'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006644.png'];"Funda Para Portatil 15.6""""<br />Marca: Aletr&iacute;a<br />Colores: Negro y Azul<br />Tama&ntilde;o: 38.5 x 26 x 0.5 cm<br />Presentaci&oacute;n: x1 unidad<br />Composici&oacute;n: 100% Neopreno<br />Caracter&iacute;sticas: Ayuda a proteger el computador del polvo, la suciedad, los ara&ntilde;azos, los golpes, la lluvia y las salpicaduras de l&iacute;quidos. Delgado y ligero. Ideal para llevar en el bolso, morral o maleta. Adecuado para el hogar, oficina, colegio y viajes. Para computadores port&aacute;tiles de 15 pulgadas o menos. Resistente y duradera. Acolchada y adaptable.<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad1
12006641;MORRAL ALETRÍA X 1 UD;39900.0;;https://domicilios.tiendasd1.com/p/morral-aletria-x-1-ud-12006641;D1;['Escolar', 'Temporada Escolar II'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006641.png'];"Morral<br />Marca: Aletr&iacute;a<br />Colores: agua marina, negro y gris <br />Dimensiones: 40 x 29 x 14 cm<br />Presentaci&oacute;n: x1 unidad<br />Composici&oacute;n: <br />Exterior: 100% Poli&eacute;ster<br />Forro: 100% Poli&eacute;ster <br />Relleno: 100% Espuma<br />Caracter&iacute;sticas: Ideal para llevar las pertenencias a clases, oficina, viajes y cualquier otro lugar. Amplio, pr&aacute;ctico y c&oacute;modo. Cuenta con m&uacute;ltiples compartimentos internos y externos.<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad2
12006716;CUADERNO 3D INFANTIL ALETRÍA X 1 UD;15900.0;;https://domicilios.tiendasd1.com/p/libreta-infantil-3d-aletria-x-1ud-12006716;D1;['Escolar', 'Temporada Escolar II'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006716.png'];"Cuaderno 3D Infantil <br />Marca: Aletr&iacute;a<br />4 Dise&ntilde;os<br />Dimensiones: 15.2 x 10.4 cm<br />96 Hojas<br />Presentaci&oacute;n: x1 unidad <br />Caracter&iacute;sticas: Divertido cuaderno infantil con dise&ntilde;os animados en 3D. Ofrece una experiencia &uacute;nica para escritura de notas, diarios de viaje, listas de ideas, tareas escolares, aprendizaje, listas de planificaci&oacute;n, juegos y pasatiempos.<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad3
12006643;BOLSA PARA ALMUERZO RED FLAG X 1 UD;14900.0;;https://domicilios.tiendasd1.com/p/portacomidas-red-flag-x-1-ud-12006643;D1;['Temporada Escolar II', 'Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006643.png'];"Bolsa para Almuerzo <br />Marca: Red Flag<br />Colores: Gris, rosado y negro<br />Dimensiones: 20 x 14 x 25 cm <br />Presentaci&oacute;n: x1 unidad<br />Composici&oacute;n: <br />Exterior: 100% Poli&eacute;ster <br />Forro: 90% Espuma de PE, 10% Papel de aluminio<br />Caracter&iacute;sticas: Ideal para llevar la comida de forma pr&aacute;ctica y segura Una opci&oacute;n elegante y funcional para mantener los alimentos organizados y frescos durante todo el d&iacute;a Completa tu estilo ejecutivo con el accesorio perfecto para tu d&iacute;a a d&iacute;a F&aacute;cil de limpiar<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad4
12004892;SET TEMPERAS Y PINCEL ALETRÍA X 6 UDS;3990.0;;https://domicilios.tiendasd1.com/p/set-temperas-y-pincel-t23-aletria-x-6-uds-12004892;D1;['Temporada Escolar', 'Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004892.png'];"Set Temperas y Pincel T25 X 6 UDS <br />Marca: Aletr&iacute;a <br />6 colores intensos: amarillo, azul, rojo, verde, negro y blanco<br />Presentaci&oacute;n: Set x6 uds <br />Contenido: 25ml<br />Recomendaciones: Despu&eacute;s de utilizar el producto, mantener el envase bien cerrado y almacenado en lugar fresco y seco.<br />Incluye: Paleta y pincel<br />Caracter&iacute;sticas: F&aacute;cil aplicaci&oacute;n y con aroma agradable. Lavables, r&aacute;pido secado y diluci&oacute;n con agua. <br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad5
12006642;LONCHERA TÉRMICA INSULADA RED FLAG X 1 UD;16990.0;;https://domicilios.tiendasd1.com/p/lonchera-termica-red-flag-x-1ud-12006642;D1;['Escolar', 'Temporada Escolar II'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006642.png'];"Lonchera T&eacute;rmica Insulada <br />Marca: Red Flag<br />Colores: Azul y gris<br />Dimensiones: 25.5 x 17 x 18.5 cm<br />Presentaci&oacute;n: x1 Unidad<br />Composici&oacute;n: <br />Exterior: 100% Poli&eacute;ster <br />Forro: 90% Espuma de PE, 10% Papel de aluminio Correa: 100% Polipropileno (PP)<br />Caracter&iacute;sticas: Lonchera port&aacute;til, compacta y ligera con amplio espacio para contener recipientes de buen tama&ntilde;o. Ayuda a mantener las temperaturas fr&iacute;as y calientes, conservando la frescura y sabor de los alimentos. Resistente al agua y a la suciedad para una mayor durabilidad y facilidad de limpieza. Dise&ntilde;ada con un asa y una correa de hombro desmontable<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad6
12006640;MOCHILA INFANTIL ALETRÍA X 1 UD;34900.0;;https://domicilios.tiendasd1.com/p/mochila-infantil-aletria-x-1ud-12006640;D1;['Temporada Escolar II', 'Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12006640.png'];"Mochila Infantil<br />Marca: Aletr&iacute;a<br />3 Dise&ntilde;os: Rat&oacute;n, elefante y dinosaurio<br />Dimensiones: 22 x 12 x 28.5 cm<br />Composici&oacute;n: <br />Exterior: 100% Lona<br />Forro: 100% Poli&eacute;ster<br />Caracter&iacute;sticas: Mochila con dise&ntilde;o de animal. Ideal para almacenar y llevar libros, &uacute;tiles escolares, juguetes o comida. Cremallera f&aacute;cil de abrir y cerrar. Ligera, ajustable y c&oacute;moda.<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad7
12004928;PLASTILINA BARRA LARGA ALETRÍA X 8 UDS;2990.0;;https://domicilios.tiendasd1.com/p/plastilina-barra-larga-t24-aletria-x-8-uds-12004928;D1;['Escolar', 'Temporada Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004928.png'];"Plastilina Barra Larga T25 x8 UDS<br />Marca: Aletr&iacute;a<br />8 Colores <br />Cont. Neto: 112 g<br />Presentaci&oacute;n: x8 uds<br />Recomendaciones: Cuando se usa por menores, se debe contar con la supervisi&oacute;n de un adulto. Almacenar en un lugar seco y ventilado<br />Incluye: <br />Caracter&iacute;sticas: Producto no t&oacute;xico, no mancha. <br />Pa&iacute;s de Origen: Colombia</p>";67a6a499f474581b6f016ad8
12004900;LONCHERA CON LICENCIA ALETRÍA X 1 UD;22900.0;;https://domicilios.tiendasd1.com/p/lonchera-con-licencia-t23-aletria-x-1ud-12004900;D1;['Escolar', 'Temporada Escolar'];['https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004900.png'];"Lonchera con Licencia T25<br />Marca: Aletr&iacute;a<br />3 Dise&ntilde;os <br />Dimensiones: 25 x 20.5 x 10 cm Aprox.<br />Presentaci&oacute;n: x1 unidad<br />Composici&oacute;n: <br />Recubrimiento exterior: 60% Poli&eacute;ster, 40% PVC <br />Forro interno: 100% PEVA<br />Pa&iacute;s de Origen: China</p>";67a6a499f474581b6f016ad9
